"","Latitud","Longitud"
"1",12.28513,76.88
"2",12.285772,76.8
"3",12.28573,76.88
"4",12.284963,76.8
"5",12.284748,76.8
"6",12.285521,76.8
"7",12.283283,76.8
"8",12.284332,76.8
"9",12.28573,76.88
"10",12.28387,76.88
"11",12.28549,76.88
"12",12.285495,76.8
"13",12.285772,76.8
"14",12.285471,76.8
"15",12.285204,76.8
"16",12.28573,76.88
"17",12.285,76.8871
"18",12.285,76.8871
"19",12.285,76.8871
"20",12.285,76.8871
"21",12.285,76.8871
"22",12.285,76.8871
"23",12.285,76.8871
"24",12.2858,76.883
"25",12.285,76.8871
"26",12.285,76.8871
"27",12.285,76.8871
"28",12.285,76.8871
"29",12.285,76.8871
"30",12.285,76.8871
"31",12.2858,76.883
"32",12.285,76.8871
"33",12.2869,76.883
"34",12.285,76.8871
"35",12.285,76.8871
"36",12.285,76.8871
"37",12.285,76.8871
"38",12.285,76.8871
"39",12.285,76.8871
"40",12.285,76.8871
"41",12.2858,76.883
"42",12.285,76.8871
"43",12.285,76.8871
"44",12.285,76.8871
"45",12.2858,76.883
"46",12.285,76.8871
"47",12.285,76.8871
"48",12.285,76.8871
"49",12.285,76.8871
"50",12.285,76.8871
"51",12.285,76.8871
"52",12.285,76.8871
"53",12.2809,76.882
"54",12.285,76.8871
"55",12.2858,76.883
"56",12.285,76.8871
"57",12.285,76.8871
"58",12.285,76.8871
"59",12.285,76.8871
"60",12.285,76.8871
"61",12.285,76.8871
"62",12.2869,76.883
"63",12.285,76.8871
"64",12.2809,76.882
"65",12.2858,76.883
"66",12.285,76.8871
"67",12.285,76.8871
"68",12.285,76.8871
"69",12.285,76.8871
"70",12.2858,76.883
"71",12.2858,76.883
"72",12.285,76.8871
"73",12.285,76.8871
"74",12.2858,76.883
"75",12.285,76.8871
"76",12.285,76.8871
"77",12.285,76.8871
"78",12.2858,76.883
"79",12.285,76.8871
"80",12.285,76.8871
"81",12.285,76.8871
"82",12.2858,76.883
"83",12.285,76.8871
"84",12.285,76.8871
"85",12.2858,76.883
"86",12.2869,76.883
"87",12.285,76.8871
"88",12.285,76.8871
"89",12.285,76.8871
"90",12.285,76.8871
"91",12.285,76.8871
"92",12.285,76.8871
"93",12.285,76.8871
"94",12.285,76.8871
"95",12.285,76.8871
"96",12.285,76.8871
"97",12.285,76.8871
"98",12.285,76.8871
"99",12.285,76.8871
"100",12.2858,76.883
"101",12.285,76.8871
"102",12.285,76.8871
"103",12.285,76.8871
"104",12.285,76.8871
"105",12.285,76.8871
"106",12.285,76.8871
"107",12.285,76.8871
"108",12.285,76.8871
"109",12.285,76.8871
"110",12.285,76.8871
"111",12.285,76.8871
"112",12.2869,76.883
"113",12.285,76.8871
"114",12.2871,76.883
"115",12.2858,76.883
"116",12.285,76.8871
"117",12.285,76.8871
"118",12.285,76.8871
"119",12.285,76.8871
"120",12.285,76.8871
"121",12.285,76.8871
"122",12.285,76.8871
"123",12.285,76.8871
"124",12.285,76.8871
"125",12.285,76.8871
"126",12.285,76.8871
"127",12.285,76.8871
"128",12.2858,76.883
"129",12.285,76.8871
"130",12.285,76.8871
"131",12.285,76.8871
"132",12.285,76.8871
"133",12.2809,76.882
"134",12.2869,76.883
"135",12.285,76.8871
"136",12.285,76.8871
"137",12.2858,76.883
"138",12.285,76.8871
"139",12.285,76.8871
"140",12.2858,76.883
"141",12.285,76.8871
"142",12.2869,76.883
"143",12.285,76.8871
"144",12.285,76.8871
"145",12.285,76.8871
"146",12.285,76.8871
"147",12.2858,76.883
"148",12.285,76.8871
"149",12.2858,76.883
"150",12.285,76.8871
"151",12.2869,76.883
"152",12.285,76.8871
"153",12.285,76.8871
"154",12.285,76.8871
"155",12.285,76.8871
"156",12.2858,76.883
"157",12.2869,76.883
"158",12.285,76.8871
"159",12.285,76.8871
"160",12.285,76.8871
"161",12.2869,76.883
"162",12.285,76.8871
"163",12.285,76.8871
"164",12.285,76.8871
"165",12.285,76.8871
"166",12.285,76.8871
"167",12.285,76.8871
"168",12.285,76.8871
"169",12.285,76.8871
"170",12.285,76.8871
"171",12.285,76.8871
"172",12.2858,76.883
"173",12.285,76.8871
"174",12.2858,76.883
"175",12.285,76.8871
"176",12.2858,76.883
"177",12.285,76.8871
"178",12.285,76.8871
"179",12.285,76.8871
"180",12.285,76.8871
"181",12.285,76.8871
"182",12.2869,76.883
"183",12.285,76.8871
"184",12.285,76.8871
"185",12.285,76.8871
"186",12.285,76.8871
"187",12.285,76.8871
"188",12.285,76.8871
"189",12.285,76.8871
"190",12.285,76.8871
"191",12.285,76.8871
"192",12.285,76.8871
"193",12.285,76.8871
"194",12.2869,76.883
"195",12.285,76.8871
"196",12.285,76.8871
"197",12.285,76.8871
"198",12.285,76.8871
"199",12.285,76.8871
"200",12.285,76.8871
"201",12.285,76.8871
"202",12.285,76.8871
"203",12.285,76.8871
"204",12.285,76.8871
"205",12.285,76.8871
"206",12.285,76.8871
"207",12.285,76.8871
"208",12.2858,76.883
"209",12.2869,76.883
"210",12.285,76.8871
"211",12.285,76.8871
"212",12.285,76.8871
"213",12.285,76.8871
"214",12.285,76.8871
"215",12.285,76.8871
"216",12.285,76.8871
"217",12.285,76.8871
"218",12.285,76.8871
"219",12.285,76.8871
"220",12.285,76.8871
"221",12.285,76.8871
"222",12.2869,76.883
"223",12.285,76.8871
"224",12.2809,76.882
"225",12.285,76.8871
"226",12.285,76.8871
"227",12.2869,76.883
"228",12.2869,76.883
"229",12.285,76.8871
"230",12.285,76.8871
"231",12.285,76.8871
"232",12.285,76.8871
"233",12.285,76.8871
"234",12.285,76.8871
"235",12.285,76.8871
"236",12.2869,76.883
"237",12.285,76.8871
